Type,Commodity,2017,2018,2019,2020,2021
Metal,Fer,1511758884,1524574245,1551335349,1524139484,1635056040
Metal,Chrome,14142863,15188744,15779216,11967592,14676208
Metal,Cobalt,138692,158317,124518,130056,134476
Metal,Manganèse,18758889,19609756,21164890,19623184,21219335
Metal,Molybdène,285378,270100,277180,284890,267724
Metal,Nickel,2141797,2377719,2707513,2477828,2812251
Metal,Niobium,91980,109023,134960,93509,121902
Metal,Tantale,2301,2037,1645,1706,1760
Metal,Titane,7120354,7550118,7900029,8503499,8493291
Metal,Tungstène,86350,84090,88859,85051,88537
Metal,Vanadium,81892,84947,98723,105776,99969
Metal,Aluminium,60544944,64443050,63214479,65381119,67668825
Metal,Antimoine,148941,145002,134659,119411,93997
Metal,Arsenic,57447,51737,55243,52298,54895
Metal,Bauxite,311864443,337375396,361800355,378992038,379850872
Metal,Béryllium,5306,6111,5927,6240,6716
Metal,Bismuth,10607,10886,9073,9513,11143
Metal,Cadmium,26777,26771,24885,24781,24770
Metal,Cuivre,20083860,20701144,20649981,20855700,21415370
Metal,Gallium,310,323,374,304,434
Metal,Germanium,98,106,95,96,142
Metal,Indium,782,830,917,942,917
Metal,Plomb,4654192,4629440,4941593,4745630,4680596
Metal,Lithium,162723,198930,192065,186955,232530
Metal,Mercure,2396,2864,2313,2290,1657
Metal,Terres rares,133235,182193,203365,229162,269203
Metal,Rhénium,45,47,44,38,42
Metal,Sélénium,3005,3196,3533,3279,3710
Metal,Tellure,613,649,529,459,734
Metal,Étain,315906,317153,294622,277312,271033
Metal,Zinc,11898987,12257076,13081570,12668276,12928724
Metal,Or,3336,3384,3327,3205,3235
Metal,Silver,27054,27836,28085,26342,25938
Metal,Palladium,204,223,225,199,212
Metal,Platine,184,189,185,165,190
Metal,Rhodium,23,22,23,20,24
Industrial mineral,Amiante,1157070,1237256,1137505,1132268,1292356
Industrial mineral,Baryte,8954503,9632288,9514043,7845612,8369341
Industrial mineral,Bentonite,21206070,21791056,21780674,18906501,18786975
Industrial mineral,Bore,4228732,4492429,4293276,3601366,4919804
Industrial mineral,Diatomite,2242941,2310207,2299083,2256681,2543310
Industrial mineral,Feldspath,31488667,35049802,31000759,29891627,35837620
Industrial mineral,Fluorspar,5749993,6970064,7661824,7741736,8391911
Industrial mineral,Graphite,896326,1028542,1127551,954737,1167430
Industrial mineral,Gypse,155905264,167914386,160614129,166467072,172829953
Industrial mineral,Kaolin,45196053,45412692,44212825,42633696,43336444
Industrial mineral,Magnésite,28448337,28945537,27339204,28254847,28013127
Industrial mineral,Perlite,2375840,2713894,2823336,3129745,3702669
Industrial mineral,Phosphates,79600355,71496230,71500920,69697070,75370830
Industrial mineral,Potasse,42321610,43443845,42215857,44739197,45154340
Industrial mineral,Sel,282563282,290534458,292279225,267753764,273766013
Industrial mineral,Soufre,79602245,81705154,81466023,77983540,76822483
Industrial mineral,Talc,8278468,8327549,7797170,6856317,7695296
Industrial mineral,Vermiculite,416091,438951,424421,416638,515987
Industrial mineral,Zircon,1379379,1569774,1368984,1249168,1456067
